date,last,open,high,low,volume,change_percent
2025-11-26,16660.0,16647.5,16682.5,16640.0,,0.0
2025-11-27,16640.0,16630.0,16652.5,16620.0,,-0.12
2025-11-28,16655.0,16637.5,16670.0,16632.5,,0.09
2025-12-01,16655.0,16660.0,16675.0,16650.0,,0.0
2025-12-02,16620.0,16632.5,16647.5,16615.0,,-0.21
2025-12-03,16620.0,16625.0,16637.5,16617.5,,0.0
2025-12-04,16645.0,16630.0,16655.5,16626.5,,0.15
2025-12-05,16640.0,16655.0,16667.5,16640.0,,-0.03
2025-12-08,16690.0,16660.0,16696.5,16650.0,,0.3
2025-12-09,16665.0,16690.0,16697.5,16659.5,,-0.15
2025-12-10,16685.0,16685.0,16696.5,16676.0,,0.12
2025-12-11,16670.0,16655.0,16682.5,16639.0,,-0.09
2025-12-12,16640.0,16647.5,16675.0,16627.5,,-0.18
2025-12-15,16665.0,16640.0,16673.5,16640.0,,0.15
2025-12-16,16690.0,16672.5,16695.0,16670.0,,0.15
2025-12-17,16685.0,16675.0,16710.0,16665.0,,-0.03
2025-12-18,16715.0,16702.5,16732.5,16695.0,,0.18
2025-12-19,16740.0,16715.0,16750.0,16706.5,,0.15
2025-12-22,16770.0,16737.5,16785.0,16737.5,,0.18
2025-12-23,16770.0,16755.0,16800.0,16745.0,,0.0
2025-12-24,16755.0,16770.0,16782.5,16749.0,,-0.09
2025-12-25,16755.0,16755.0,16755.0,16755.0,,0.0
2025-12-26,16755.0,16755.0,16755.0,16755.0,,0.0
2025-12-29,16785.0,16760.0,16795.0,16757.5,,0.18
2025-12-30,16760.0,16780.0,16789.0,16760.0,,-0.15
2025-12-31,16675.0,16715.0,16742.5,16675.0,,-0.51
2026-01-01,16675.0,16675.0,16675.0,16675.0,,0.0
2026-01-02,16720.0,16695.0,16734.0,16690.0,,0.27
2026-01-05,16740.0,16715.0,16762.5,16712.5,,0.12
2026-01-06,16750.0,16745.0,16769.0,16730.0,,0.06
2026-01-07,16775.0,16760.0,16790.5,16755.0,,0.15
2026-01-08,16790.0,16787.5,16805.0,16785.0,,0.09
2026-01-09,16800.0,16830.0,16846.5,16800.0,,0.06
